AirportCode,FlightNum,ScheduledDeparture,ActualDeparture,Destination,Distance miles,ScheduledArrival,ActualArrival,RunwayNum,WeatherConditions
CGD,AF832,00:11,00:11,MAD,660,02:21,02:21,4,15°C heavy rain
CGD,U2495,00:20,00:20,FRA,358,01:40,01:56,4,15°C heavy rain
CGD,QR615,00:29,00:53,LIS,903,03:09,03:33,1,15°C heavy rain
CGD,AF814,01:11,01:11,FRA,358,02:31,02:31,3,17°C light rain
CGD,BA350,01:39,01:39,LIS,903,04:19,04:28,1,17°C light rain
CGD,U2628,01:51,01:51,FCO,690,04:06,04:06,4,17°C light rain
CGD,IB632,02:09,02:09,LHR,216,03:29,03:29,2,16°C overcast
CGD,U2531,02:13,02:48,LHR,216,03:33,04:08,2,16°C overcast
CGD,SK569,02:35,03:52,FCO,690,04:50,06:07,3,16°C overcast
CGD,FR785,03:18,03:27,FCO,690,05:33,05:42,3,16°C overcast
CGD,SN846,03:36,03:36,FCO,690,05:51,05:51,1,16°C overcast
CGD,BA289,04:02,04:02,FRA,358,05:22,05:28,4,15°C heavy rain
CGD,A3918,04:12,04:12,LIS,903,06:52,06:56,3,15°C heavy rain
CGD,AY627,05:01,05:01,FCO,690,07:16,07:16,2,15°C heavy rain
CGD,LH606,05:37,05:37,MUC,424,07:07,07:07,2,15°C heavy rain
CGD,QR563,05:53,05:53,BCN,516,07:43,07:49,4,15°C heavy rain
CGD,TK907,06:06,11:25,MUC,424,07:36,13:04,4,14°C light rain
CGD,AF871,06:16,06:16,MAD,660,08:26,08:42,2,14°C light rain
CGD,AF282,06:30,06:32,MAD,660,08:40,08:42,4,14°C light rain
CGD,EK628,06:31,06:31,AMS,248,07:51,07:51,1,14°C light rain
CGD,IB781,07:07,07:28,LIS,903,09:47,10:08,3,15°C overcast
CGD,LH691,07:23,07:23,BCN,516,09:13,09:13,4,15°C overcast
CGD,U2480,07:29,08:09,LIS,903,10:09,10:45,2,15°C overcast
CGD,LH745,08:17,08:17,LHR,216,09:37,09:37,2,17°C light rain
CGD,U2324,08:54,09:22,BCN,516,10:44,11:12,1,17°C light rain
CGD,FR300,09:44,10:07,FCO,690,11:59,12:22,2,17°C light rain
CGD,BA352,09:59,10:15,LIS,903,12:39,12:55,2,17°C light rain
CGD,FR417,10:17,10:17,BCN,516,12:07,12:19,1,20°C sun
CGD,QR254,10:30,10:35,FCO,690,12:45,12:44,3,20°C sun
CGD,AF536,11:02,11:02,FCO,690,13:17,13:16,4,24°C sun
CGD,AF868,11:15,11:15,IST,1378,14:50,14:50,2,24°C sun
CGD,QR775,11:58,17:07,LIS,903,14:38,19:47,3,24°C sun
